mobley_id,atoms,coords,smiles,hfe
mobley_1160109,"['C', 'C', 'H', 'C', 'C', 'C', 'H', 'C', 'C', 'O', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.964, 0.683, -2.525], [0.613, -0.097, -1.262], [1.244, -0.994, -1.221], [-0.862, -0.507, -1.27], [-1.262, -1.225, 0.02], [-0.986, -0.346, 1.246], [-1.603, 0.559, 1.164], [0.485, 0.07, 1.306], [0.908, 0.708, -0.001], [1.53, 1.769, -0.016], [-1.39, -1.055, 2.502], [-0.845, -2.226, 2.863], [-2.441, -0.38, 3.334], [0.353, 1.587, -2.601], [2.018, 0.978, -2.514], [0.787, 0.072, -3.415], [-1.498, 0.379, -1.396], [-1.061, -1.165, -2.125], [-2.327, -1.48, -0.031], [-0.711, -2.171, 0.096], [0.645, 0.792, 2.116], [1.142, -0.789, 1.489], [-1.146, -2.731, 3.775], [-0.085, -2.707, 2.255], [-3.439, -0.71, 3.026], [-2.304, -0.628, 4.391], [-2.406, 0.71, 3.239]]",C[C@@H]1CC[C@H](CC1=O)C(=C)C,-3.34
mobley_1178614,"['C', 'C', 'C', 'C', 'C', 'C', 'O', 'Cl', 'H', 'H', 'H', 'H', 'H']","[[1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.302, 0.084, 2.587], [1.773, -1.119, 4.4], [1.919, -1.02, -1.198], [3.761, -2.077, 0.084], [3.693, -2.119, 2.549], [0.003, -0.002, -0.007], [-0.205, -0.001, 3.548]]",c1ccc(c(c1)O)Cl,-3.32
mobley_1189457,"['C', 'S', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.986, -2.783, -2.237], [1.94, -1.008, -1.894], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [2.023, -2.952, -3.316], [1.091, -3.262, -1.832], [2.87, -3.228, -1.775], [3.771, -2.082, 0.101], [3.685, -2.113, 2.564], [1.768, -1.093, 3.761], [-0.075, -0.036, 2.479], [-0.01, 0.006, 0.017]]",CSc1ccccc1,-1.32
mobley_1199854,"['C', 'C', 'C', 'I', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[-0.509, -0.549, 0.798], [0.304, -0.521, 2.083], [1.675, -1.164, 1.886], [2.801, -1.114, 3.703], [-1.487, -0.085, 0.959], [0.0, -0.0, -0.0], [-0.672, -1.577, 0.46], [-0.253, -1.047, 2.869], [0.415, 0.519, 2.412], [2.229, -0.635, 1.102], [1.56, -2.204, 1.56]]",CCCI,-0.44
mobley_1231151,"['C', 'C', 'C', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.865, -0.543, 0.397], [1.006, -0.302, 1.893], [1.198, 1.174, 2.208], [2.397, -1.233, 2.519], [0.727, -1.608, 0.182], [-0.007, -0.01, 0.002], [1.747, -0.196, -0.152], [0.116, -0.675, 2.41], [1.298, 1.335, 3.287], [0.336, 1.756, 1.865], [2.091, 1.578, 1.72]]",CC(C)Cl,0.83
mobley_1235151,"['C', 'C', 'C', 'C', 'C', 'N', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.074, -0.678, 0.857], [1.344, -0.415, 1.651], [2.593, -0.624, 0.795], [3.869, -0.358, 1.597], [5.108, -0.568, 0.738], [6.302, -0.303, 1.545], [6.807, -1.258, 2.167], [6.739, 0.864, 1.58], [-0.806, -0.523, 1.488], [0.0, -0.002, -0.001], [0.05, -1.708, 0.486], [1.371, -1.086, 2.518], [1.322, 0.611, 2.034], [2.56, 0.045, -0.074], [2.608, -1.651, 0.411], [3.898, -1.024, 2.469], [3.849, 0.668, 1.986], [5.135, 0.118, -0.114], [5.181, -1.598, 0.378]]",CCCCC[N+](=O)[O-],-1.32
mobley_1244778,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.826, -0.229, 0.686], [0.774, -1.724, 0.985], [1.477, -2.208, 2.249], [2.809, -1.531, 2.551], [2.656, -0.235, 3.347], [2.067, 0.94, 2.567], [0.716, 0.68, 1.906], [3.958, 0.144, 3.802], [-0.0, 0.0, 0.0], [1.743, 0.001, 0.13], [-0.276, -2.039, 1.044], [1.191, -2.256, 0.12], [0.803, -2.102, 3.108], [1.648, -3.287, 2.14], [3.415, -2.223, 3.152], [3.39, -1.363, 1.635], [2.049, -0.425, 4.24], [1.959, 1.786, 3.259], [2.792, 1.284, 1.817], [-0.009, 0.292, 2.629], [0.329, 1.649, 1.565], [3.842, 0.964, 4.302]]",C1CCCC(CC1)O,-4.34
mobley_1261349,"['C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[-0.614, -0.125, 0.899], [0.261, -0.35, 2.141], [1.185, 0.859, 2.342], [1.108, -1.616, 1.947], [-0.637, -0.519, 3.375], [-1.286, -0.973, 0.729], [-1.232, 0.774, 1.008], [0.0, -0.0, -0.0], [1.823, 0.728, 3.223], [0.608, 1.78, 2.483], [1.84, 1.006, 1.476], [1.744, -1.803, 2.82], [0.474, -2.498, 1.801], [1.76, -1.525, 1.072], [-0.041, -0.682, 4.279], [-1.31, -1.376, 3.261], [-1.256, 0.371, 3.539]]",CC(C)(C)C,2.51
mobley_1278715,"['C', 'C', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl']","[[0.206, -0.363, -0.655], [-0.205, 0.363, 0.655], [-1.216, 1.823, 0.325], [-1.166, -0.709, 1.744], [1.233, 0.918, 1.595], [1.167, 0.709, -1.744], [-1.233, -0.918, -1.595], [1.216, -1.823, -0.325]]",C(C(Cl)(Cl)Cl)(Cl)(Cl)Cl,0.89
mobley_129464,"['C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.703, -2.233, -0.771], [-0.419, -2.645, 0.168], [-1.778, -2.583, -0.523], [-2.905, -2.995, 0.414], [-4.138, -2.916, -0.288], [-5.233, -3.29, 0.537], [-6.517, -3.183, -0.273], [-7.739, -3.572, 0.555], [-9.019, -3.464, -0.257], [1.674, -2.28, -0.267], [0.739, -2.886, -1.649], [0.55, -1.206, -1.117], [-0.231, -3.663, 0.528], [-0.416, -1.985, 1.044], [-1.969, -1.569, -0.896], [-1.785, -3.233, -1.407], [-2.767, -4.024, 0.761], [-2.955, -2.329, 1.282], [-5.26, -2.621, 1.403], [-5.073, -4.316, 0.883], [-6.441, -3.823, -1.161], [-6.625, -2.159, -0.65], [-7.815, -2.922, 1.434], [-7.63, -4.6, 0.92], [-9.89, -3.745, 0.344], [-9.168, -2.443, -0.622], [-8.976, -4.131, -1.124]]",CCCCOCCCC,0.14
mobley_1323538,"['C', 'C', 'O', 'P', 'O', 'O', 'C', 'C', 'O', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[-0.356, 0.19, 0.143], [1.002, -0.285, -0.328], [1.08, -0.139, -1.736], [2.448, -0.583, -2.483], [2.815, -2.029, -2.308], [2.185, -0.134, -4.017], [3.202, -0.377, -4.975], [2.738, 0.123, -6.327], [3.562, 0.461, -1.941], [3.402, 1.852, -2.16], [4.578, 2.588, -1.554], [-0.45, 0.091, 1.228], [-0.514, 1.239, -0.131], [-1.154, -0.387, -0.336], [1.149, -1.339, -0.075], [1.798, 0.308, 0.133], [4.113, 0.147, -4.666], [3.404, -1.452, -5.013], [3.501, -0.05, -7.091], [1.815, -0.383, -6.629], [2.515, 1.194, -6.286], [3.349, 2.037, -3.238], [2.466, 2.179, -1.696], [4.486, 3.667, -1.707], [4.647, 2.388, -0.48], [5.518, 2.248, -2.003]]",CCOP(=O)(OCC)OCC,-10.25
mobley_1328465,"['C', 'C', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H']","[[-0.194, 0.622, 0.466], [0.426, -0.492, -0.372], [-0.073, -0.397, -2.08], [0.055, -2.105, 0.287], [-1.977, 0.601, 0.473], [0.134, 0.548, 1.508], [0.115, 1.603, 0.092], [1.515, -0.391, -0.358]]",C(C(Cl)Cl)Cl,-0.38
mobley_1328936,"['C', 'O', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'N', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.585, -1.014, -3.507], [0.673, -1.032, -2.078], [1.93, -1.015, -1.566], [2.971, -0.986, -2.204], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [1.757, -1.1, 4.095], [0.778, -0.579, 4.681], [2.699, -1.639, 4.723], [-0.465, -1.03, -3.808], [1.106, -1.884, -3.915], [1.055, -0.102, -3.881], [3.766, -2.08, 0.093], [3.692, -2.118, 2.552], [-0.083, -0.034, 2.467], [-0.007, 0.002, 0.009]]",COC(=O)c1ccc(cc1)[N+](=O)[O-],-6.59
mobley_1352110,"['C', 'C', 'C', 'C', 'N', 'C', 'C', 'C', 'O', 'S', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[-2.702, 2.586, -1.32], [-3.096, 2.544, 0.148], [-1.993, 3.121, 1.039], [-2.361, 3.092, 2.519], [-1.323, 3.634, 3.352], [-1.279, 5.064, 3.692], [-2.04, 5.31, 4.936], [-0.293, 2.813, 3.884], [0.622, 3.211, 4.601], [-0.373, 1.103, 3.424], [1.071, 0.448, 4.287], [1.22, -1.052, 4.038], [2.434, -1.618, 4.76], [-3.496, 2.172, -1.95], [-2.521, 3.618, -1.635], [-1.787, 2.011, -1.497], [-4.022, 3.114, 0.288], [-3.307, 1.507, 0.43], [-1.062, 2.564, 0.877], [-1.803, 4.161, 0.747], [-2.565, 2.072, 2.858], [-3.257, 3.696, 2.693], [-0.229, 5.314, 3.803], [-1.701, 5.588, 2.842], [-2.024, 6.37, 5.213], [-3.08, 4.978, 4.842], [-1.575, 4.741, 5.75], [0.963, 0.646, 5.362], [1.965, 0.982, 3.94], [0.325, -1.584, 4.383], [1.325, -1.249, 2.964], [2.534, -2.692, 4.577], [3.347, -1.127, 4.409], [2.357, -1.459, 5.84]]",CCCCN(CC)C(=O)SCCC,-4.57
mobley_1363784,"['C', 'C', 'C', 'C', 'C', 'N', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[2.885, -0.266, 3.652], [1.652, -0.623, 2.9], [1.388, -0.068, 1.652], [0.227, -0.42, 0.973], [-0.632, -1.322, 1.58], [-0.409, -1.882, 2.791], [0.73, -1.516, 3.421], [-0.085, 0.156, -0.362], [3.695, -0.954, 3.392], [3.201, 0.757, 3.421], [2.711, -0.315, 4.732], [2.087, 0.636, 1.209], [-1.554, -1.634, 1.098], [0.882, -1.98, 4.39], [0.333, -0.471, -1.16], [-1.17, 0.239, -0.521], [0.327, 1.17, -0.469]]",Cc1cc(cnc1)C,-2.87
mobley_1396156,"['C', 'C', 'C', 'C', 'C', 'C', 'Cl', 'Cl', 'Cl', 'Cl', 'Cl', 'N', 'O', 'O']","[[1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.479, 0.274, -0.357], [-0.585, 0.234, 2.793], [1.747, -1.105, 4.418], [4.175, -2.396, 2.898], [4.259, -2.342, -0.252], [1.928, -1.015, -1.541], [0.985, -0.476, -2.16], [2.907, -1.536, -2.118]]",c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)N(=O)=O,-1.28
mobley_1417007,"['C', 'C', 'C', 'C', 'C', 'H', 'C', 'H', 'C', 'O', 'N', 'C', 'O', 'S', 'C', 'Cl', 'Cl', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H']","[[-1.704, 1.39, 0.139], [-1.832, 1.921, -1.271], [-1.001, 1.578, -2.274], [0.116, 0.57, -2.126], [-0.071, -0.219, -0.842], [-0.913, -0.917, -0.969], [-0.347, 0.735, 0.319], [0.427, 1.517, 0.361], [-0.098, -0.153, 1.512], [-0.595, -0.015, 2.618], [0.86, -1.062, 1.076], [1.067, -1.044, -0.299], [1.915, -1.614, -0.966], [1.689, -2.088, 2.119], [3.127, -1.047, 2.532], [4.187, -1.95, 3.664], [4.08, -0.653, 1.071], [2.617, 0.467, 3.336], [-2.519, 0.685, 0.341], [-1.811, 2.215, 0.853], [-2.632, 2.631, -1.465], [-1.139, 2.028, -3.253], [0.108, -0.115, -2.981], [1.082, 1.088, -2.14]]",C1C=CC[C@@H]2[C@@H]1C(=O)N(C2=O)SC(Cl)(Cl)Cl,-8.72
mobley_1424265,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.931, -1.013, -1.603], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.389, 0.129, 2.676], [2.44, -0.107, -1.947], [2.464, -1.887, -1.991], [0.922, -1.034, -2.026], [3.766, -2.078, 0.092], [3.686, -2.112, 2.564], [1.775, -1.099, 3.762], [-0.001, -0.0, -0.001], [-0.188, 1.186, 2.889], [-1.31, 0.063, 2.083], [-0.585, -0.386, 3.625]]",Cc1cccc(c1)C,-0.7
mobley_1449384,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.931, -1.013, -1.603], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [1.753, -1.104, 4.166], [0.546, -1.896, 4.704], [1.766, 0.309, 4.78], [2.438, -0.108, -1.948], [2.463, -1.888, -1.991], [0.92, -1.036, -2.025], [3.765, -2.08, 0.092], [3.689, -2.118, 2.555], [-0.081, -0.036, 2.472], [-0.005, 0.002, 0.008], [2.652, -1.614, 4.561], [0.526, -1.905, 5.799], [0.566, -2.937, 4.364], [-0.391, -1.447, 4.357], [1.73, 0.252, 5.873], [0.904, 0.898, 4.447], [2.671, 0.861, 4.503]]",Cc1ccc(cc1)C(C)C,-0.46
mobley_1469079,"['C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'Cl', 'Cl', 'H', 'H', 'H', 'H', 'H', 'H']","[[-1.858, 0.74, 0.8], [-1.004, -0.257, 0.326], [-1.437, -1.582, 0.269], [-2.727, -1.905, 0.689], [-3.58, -0.91, 1.163], [-3.149, 0.415, 1.22], [-4.856, -1.183, 1.585], [-5.239, -2.498, 1.512], [-6.529, -2.821, 1.932], [-6.962, -4.146, 1.875], [-6.107, -5.143, 1.401], [-4.817, -4.818, 0.982], [-4.386, -3.494, 1.038], [-3.109, -3.22, 0.616], [-6.591, -6.801, 1.31], [-8.57, -4.491, 2.408], [-1.518, 1.77, 0.844], [0.001, -0.0, 0.002], [-0.766, -2.352, -0.1], [-3.808, 1.196, 1.589], [-7.187, -2.038, 2.3], [-4.143, -5.587, 0.611]]",c1ccc2c(c1)Oc3cc(c(cc3O2)Cl)Cl,-3.59
mobley_1502181,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.091, 3.436, 2.835], [0.53, 2.033, 2.665], [0.752, 1.509, 1.247], [0.186, 0.098, 1.081], [0.409, -0.427, -0.339], [-0.158, -1.84, -0.504], [0.048, -2.393, -1.911], [-0.509, -3.791, -2.085], [-1.063, -4.378, -1.156], [-0.346, -4.443, -3.433], [0.927, 3.803, 3.853], [0.618, 4.135, 2.137], [2.168, 3.439, 2.642], [1.009, 1.364, 3.389], [-0.542, 2.045, 2.894], [0.274, 2.184, 0.527], [1.825, 1.503, 1.021], [0.665, -0.577, 1.801], [-0.887, 0.103, 1.306], [-0.068, 0.252, -1.055], [1.482, -0.434, -0.564], [0.339, -2.511, 0.208], [-1.224, -1.841, -0.247], [-0.42, -1.736, -2.653], [1.117, -2.427, -2.15], [0.596, -4.998, -3.459], [-0.33, -3.681, -4.216], [-1.165, -5.145, -3.606]]",CCCCCCCC(=O)C,-2.56
mobley_1520842,"['C', 'C', 'C', 'C', 'N', 'C', 'C', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[2.347, 0.898, 1.044], [1.388, -0.068, 1.652], [0.227, -0.42, 0.973], [-0.632, -1.322, 1.58], [-0.409, -1.882, 2.791], [0.73, -1.516, 3.421], [1.652, -0.623, 2.9], [3.086, 0.363, 0.441], [1.824, 1.619, 0.407], [2.869, 1.47, 1.819], [-0.008, -0.006, -0.002], [-1.55, -1.63, 1.092], [0.889, -1.976, 4.39], [2.549, -0.368, 3.454]]",Cc1ccncc1,-3.34
mobley_1527293,"['C', 'C', 'H', 'C', 'C', 'C', 'C', 'C', 'C', 'F', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.923, 0.407, -2.173], [1.932, -1.014, -1.603], [2.874, -1.489, -1.907], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.28, 0.072, 2.588], [1.76, -1.103, 4.122], [0.707, -1.738, 4.78], [0.669, -1.761, 6.174], [1.683, -1.149, 6.91], [2.736, -0.513, 6.252], [2.775, -0.49, 4.858], [0.802, -1.831, -2.211], [-0.27, -1.38, -2.596], [1.107, -3.153, -2.285], [1.008, 0.949, -1.909], [2.78, 0.985, -1.809], [1.974, 0.388, -3.267], [3.765, -2.08, 0.092], [3.693, -2.12, 2.55], [-0.005, 0.002, 0.008], [-0.09, -2.221, 4.221], [-0.151, -2.257, 6.687], [1.653, -1.167, 7.996], [3.525, -0.036, 6.825], [3.601, 0.01, 4.359], [1.995, -3.399, -1.947]]",C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O,-13.95
mobley_1563176,"['C', 'C', 'C', 'C', 'S', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[0.941, -0.058, -0.703], [0.888, -1.42, -1.38], [-0.338, -1.543, -2.287], [-0.445, -2.893, -2.995], [-1.907, -3.019, -4.067], [1.824, 0.011, -0.059], [0.054, 0.107, -0.083], [0.997, 0.746, -1.445], [0.862, -2.201, -0.611], [1.81, -1.56, -1.954], [-0.346, -0.728, -3.022], [-1.24, -1.413, -1.675], [0.448, -3.081, -3.6], [-0.512, -3.691, -2.248], [-1.584, -1.994, -4.866]]",CCCCS,-0.17
mobley_1571523,"['C', 'C', 'C', 'C', 'C', 'C', 'C', 'C', 'O', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H', 'H']","[[1.955, -1.027, -1.604], [1.885, -1.036, -0.112], [2.921, -1.631, 0.608], [2.878, -1.652, 2.002], [1.8, -1.079, 2.676], [0.764, -0.484, 1.955], [0.807, -0.463, 0.561], [-0.307, 0.174, -0.207], [-0.282, 0.07, 2.631], [2.469, -0.125, -1.95], [2.493, -1.905, -1.976], [0.952, -1.053, -2.043], [3.766, -2.08, 0.093], [3.686, -2.113, 2.563], [1.772, -1.099, 3.762], [-0.094, 1.236, -0.372], [-0.445, -0.312, -1.18], [-1.258, 0.087, 0.332], [-0.154, -0.032, 3.587]]",Cc1cccc(c1C)O,-5.15
